time,pm25,pm10,O3,NO2,SO2,CO
2023-06-29,,10,,,,
2023-06-30,35,20,,,,
2023-07-01,61,33,,,,
2023-07-02,87,50,,,,
2023-07-03,105,16,,,,
2023-07-04,38,40,,,,
2023-07-05,83,37,,,,
2023-07-06,108,43,,,,
2023-07-07,107,29,,,,
2023-07-08,82,22,,,,
2023-07-09,67,23,,,,
2023-07-10,75,19,,,,
2023-07-11,61,24,,,,
2023-07-12,73,30,,,,
2023-07-13,82,25,,,,
2023-07-14,77,25,,,,
2023-07-15,79,28,,,,
2023-07-16,82,26,,,,
2023-07-17,82,21,,,,
2023-07-18,66,20,,,,
2023-07-19,67,30,,,,
2023-07-20,91,28,,,,
2023-07-21,82,66,,,,
2023-07-22,144,33,,,,
2023-07-23,88,11,,,,
2023-07-24,44,29,,,,
2023-07-25,87,14,,,,
2023-07-26,53,19,,,,
2023-07-27,40,18,,,,
2023-07-28,57,56,,,,
2023-07-29,135,27,,,,
2023-07-30,76,34,,,,
2023-07-31,95,44,,,,
2023-08-01,109,65,,,,
2023-08-02,157,43,,,,
2023-08-03,122,28,,,,
2023-08-04,87,37,,,,
2023-08-05,93,40,,,,
2023-08-06,110,42,,,,
2023-08-07,109,30,,,,
2023-08-08,86,25,,,,
2023-08-09,68,15,,,,
2023-08-10,43,13,,,,
2023-08-11,35,24,,,,
2023-08-12,69,19,,,,
2023-08-13,54,67,,,,
2023-08-14,129,30,,,,
2023-08-15,76,22,,,,
2023-08-16,68,104,,,,
2023-08-17,172,40,,,,
2023-08-18,101,37,,,,
2023-08-19,92,18,,,,
2023-08-20,68,12,,,,
2023-08-21,46,15,,,,
2023-08-22,56,28,,,,
2023-08-23,85,94,,,,
2023-08-24,184,55,,,,
2023-08-25,155,47,,,,
2023-08-26,132,18,,,,
2023-08-27,70,8,,,,
2023-08-28,41,73,,,,
2023-08-29,134,15,,,,
2023-08-30,62,14,,,,
2023-08-31,43,39,,,,
2023-09-01,83,33,,,,
2023-09-02,86,15,,,,
2023-09-03,49,97,,,,
2023-09-04,157,30,,,,
2023-09-05,78,19,,,,
2023-09-06,58,35,,,,
2023-09-07,100,63,,,,
2023-09-08,140,53,,,,
2023-09-09,144,47,,,,
2023-09-10,122,66,,,,
2023-09-11,162,19,,,,
2023-09-12,70,34,,,,
2023-09-13,93,44,,,,
2023-09-14,117,83,,,,
2023-09-15,198,48,,,,
2023-09-16,136,138,,,,
2023-09-17,214,65,,,,
2023-09-18,146,12,,,,
2023-09-19,47,57,,,,
2023-09-20,112,39,,,,
2023-09-21,94,35,,,,
2023-09-22,97,24,,,,
2023-09-23,63,21,,,,
2023-09-24,65,34,,,,
2023-09-25,91,78,,,,
2023-09-26,177,26,,,,
2023-09-27,78,10,,,,
2023-09-28,,20,,,,
2023-09-28,42,20,,,,
2023-09-29,53,14,,,,
2023-09-29,53,14,,,,
2023-09-30,38,19,,,,
2023-09-30,38,,,,,
2023-10-01,57,15,,,,
2023-10-02,52,43,,,,
2023-10-03,103,95,,,,
2023-10-04,176,35,,,,
2023-10-05,104,14,,,,
2023-10-06,48,102,,,,
2023-10-07,170,93,,,,
2023-10-08,198,90,,,,
2023-10-09,179,46,,,,
2023-10-10,126,15,,,,
2023-10-11,54,27,,,,
2023-10-12,82,52,,,,
2023-10-13,136,50,,,,
2023-10-14,142,124,,,,
2023-10-15,212,27,,,,
2023-10-16,82,12,,,,
2023-10-17,41,15,,,,
2023-10-18,44,21,,,,
2023-10-19,61,60,,,,
2023-10-20,148,112,,,,
2023-10-21,236,9,,,,
2023-10-22,40,17,,,,
2023-10-23,58,49,,,,
2023-10-24,129,13,,,,
2023-10-25,44,12,,,,
2023-10-26,41,23,,,,
2023-10-27,73,63,,,,
2023-10-28,118,14,,,,
2023-10-29,44,29,,,,
2023-10-30,84,55,,,,
2023-10-31,136,68,,,,
2023-11-01,165,53,,,,
2023-11-02,135,33,,,,
2023-11-03,97,48,,,,
2023-11-04,128,48,,,,
2023-11-05,125,15,,,,
2023-11-06,54,12,,,,
2023-11-07,45,32,,,,
2023-11-08,77,99,,,,
2023-11-09,178,42,,,,
2023-11-10,91,9,,,,
2023-11-11,38,15,,,,
2023-11-12,47,24,,,,
2023-11-13,79,24,,,,
2023-11-14,65,28,,,,
2023-11-15,84,18,,,,
2023-11-16,59,10,,,,
2023-11-17,36,10,,,,
2023-11-18,41,22,,,,
2023-11-19,71,25,,,,
2023-11-20,81,59,,,,
2023-11-21,136,96,,,,
2023-11-22,192,131,,,,
2023-11-23,217,162,,,,
2023-11-24,227,29,,,,
2023-11-25,63,74,,,,
2023-11-26,133,50,,,,
2023-11-27,101,54,,,,
2023-11-28,128,15,,,,
2023-11-29,53,58,,,,
2023-11-30,108,73,,,,
2023-12-01,164,37,,,,
2023-12-02,104,74,,,,
2023-12-03,152,11,,,,
2023-12-04,45,8,,,,
2023-12-05,36,34,,,,
2023-12-06,90,12,,,,
2023-12-07,48,18,,,,
2023-12-08,49,22,,,,
2023-12-09,59,25,,,,
2023-12-10,78,21,,,,
2023-12-11,63,13,,,,
2023-12-12,50,15,,,,
2023-12-13,56,27,,,,
2023-12-14,60,27,,,,
2023-12-15,78,33,,,,
2023-12-16,97,42,,,,
2023-12-17,119,30,,,,
2023-12-18,95,29,,,,
2023-12-19,79,40,,,,
2023-12-20,112,35,,,,
2023-12-21,105,46,,,,
2023-12-22,126,28,,,,
2023-12-23,86,38,,,,
2023-12-24,100,18,,,,
2023-12-25,54,25,,,,
2023-12-26,56,31,,,,
2023-12-27,84,26,,,,
2023-12-28,,27,,,,
2023-12-28,,27,,,,
2023-12-28,68,29,,,,
2023-12-29,81,25,,,,
2023-12-29,81,25,,,,
2023-12-29,78,27,,,,
2023-12-30,78,32,,,,
2023-12-30,78,32,,,,
2023-12-30,81,,,,,
2023-12-31,87,28,,,,
2023-12-31,87,28,,,,
